"","Predicted value","True value","Celltype","Normalization method","Deconvolution method"
"4383","0.23592793418064","0.26","Bcell","col_z_score","fardeep"
"4384","0.177407908395261","0.18","CD4T","col_z_score","fardeep"
"4385","0.08830190898323","0.13","CD8T","col_z_score","fardeep"
"4386","0.235366103681542","0.22","Mono","col_z_score","fardeep"
"4387","0.262269894445562","0.25","Neu","col_z_score","fardeep"
"4388","0.115176024815236","0.12","NK","col_z_score","fardeep"
"4389","0.141033848606604","0.16","Bcell","col_z_score","fardeep"
"4390","0.107465196286402","0.13","CD4T","col_z_score","fardeep"
"4391","0.0900949108500987","0.11","CD8T","col_z_score","fardeep"
"4392","0.229604418832033","0.23","Mono","col_z_score","fardeep"
"4393","0.2014","0.21","Neu","col_z_score","dcq"
"4394","0.1454","0.15","NK","col_z_score","dcq"
