"","Predicted value","True value","Celltype","Normalization method","Deconvolution method"
"4395","0.1332","0.19","Bcell","col_z_score","dcq"
"4396","0.1118","0.07","CD4T","col_z_score","dcq"
"4397","0.1808","0.19","CD8T","col_z_score","dcq"
"4398","0.2273","0.19","Mono","col_z_score","dcq"
"4399","0.6389","0.7","Neu","col_z_score","dcq"
"4400","0","0.02","NK","col_z_score","dcq"
"4401","0","0.04","Bcell","col_z_score","dcq"
"4402","0.0825","0.15","CD4T","col_z_score","dcq"
"4403","0.0236","0.04","CD8T","col_z_score","dcq"
"4404","0.255","0.05","Mono","col_z_score","dcq"
"4405","0.6767","0.73","Neu","col_z_score","dcq"
"4406","0","0","NK","col_z_score","dcq"
"4407","0","0.02","Bcell","col_z_score","dcq"
"4408","0.0187","0.09","CD4T","col_z_score","dcq"
