,Neu,NK,Bcell,CD4T,CD8T,Mono
MIX_1,0.23137934481256386,0.17024403806270327,0.1769932232228685,0.04637681549696532,0.16782764651294457,0.2071789318919544
MIX_2,0.7380779439343683,0.0,0.021066303498996863,0.16168562418595506,0.029486154760086508,0.04968397362059317
MIX_3,0.7561675043293088,0.0,0.005838276830331039,0.08676204067232297,0.04485794117436462,0.10637423699367249
MIX_4,0.6539775769646778,0.00783291284427618,0.0,0.1542804320340022,0.11590080374402939,0.06800827441301437
MIX_5,0.1171396519826599,0.17906114251572947,0.054540869853295496,0.1493168292040603,0.2541108876423972,0.24583061880185766
MIX_6,0.7210246988713582,0.0051453370818314165,0.0,0.14219468548756742,0.06707296116629193,0.06456231739295097
MIX_7,0.253855911532229,0.12868176181060928,0.06806438446596554,0.03534530061359307,0.30401805997473413,0.210034581602869
MIX_8,0.6724499082914617,0.07184449049283942,0.04996037113118592,0.12301065001250995,0.04238057376952252,0.04035400630248057
MIX_9,0.7692822282757904,0.030171049841077067,0.0,0.1308368029643491,0.021990999087412533,0.04771891983137087
MIX_10,0.18596832060160579,0.24531721606856585,0.19170736050900894,0.09217699387718999,0.18499151077491258,0.09983859816871692
MIX_11,0.053411603658315474,0.16407311804912433,0.24416449502918172,0.18715215805459673,0.11360684260898425,0.23759178259979755
MIX_12,0.270871736726182,0.12388506712622034,0.14847407302189064,0.11742547035980713,0.10899338438582046,0.23035026838007952
