,Neu,NK,Bcell,CD4T,CD8T,Mono
MIX_1,0.23138108959312523,0.1730469026522524,0.17534665489253418,0.05391920623657088,0.15207657532304467,0.21422957130247275
MIX_2,0.6897493137598295,0.005422132867298232,0.034142644375554795,0.17203054721617086,0.04254122119214815,0.05611414058899843
MIX_3,0.6956296568722273,0.0,0.012180579812956784,0.10179120205651494,0.0698528141827563,0.12054574707554462
MIX_4,0.6325256929313302,0.007687072205047412,0.0,0.1608278778099493,0.12559053901249198,0.07336881804118119
MIX_5,0.11716509805825903,0.18016460335626533,0.058732804077486614,0.14904717000954606,0.2439438201046536,0.2509465043937894
MIX_6,0.670069624522891,0.021441492604643612,0.0059968627563837815,0.15565926831386784,0.07584561649934557,0.07098713530286813
MIX_7,0.25522270448298195,0.13031217286383415,0.06759612246447977,0.034087062640659575,0.29169293736622565,0.22108900018181907
MIX_8,0.6542801254090911,0.07278051525979813,0.050212543669863066,0.1269698847825505,0.0495817695662342,0.04617516131246311
MIX_9,0.715929678874122,0.0346420760375727,0.0,0.14761625394434233,0.03934748860944969,0.06246450253451331
MIX_10,0.18557236362122792,0.25301725778486406,0.192158938430992,0.08997861377692525,0.17415202898641113,0.10512079739957961
MIX_11,0.048919551552376005,0.1653131443785885,0.24804420587803502,0.18676952502985092,0.10096303235367317,0.24999054080747637
MIX_12,0.27584718254377383,0.12162258864263309,0.1464958653309217,0.11273150093871825,0.10089613943715502,0.24240672310679814
