,Neu,NK,Bcell,CD4T,CD8T,Mono
MIX_1,0.2313707791210701,0.1699869710324692,0.17654184723146116,0.04577158270372047,0.1682278534451971,0.20810096646608203
MIX_2,0.7387398954858769,0.0,0.020888349373629534,0.16147372195622178,0.029080339143307706,0.04981769404096393
MIX_3,0.7567030951120094,0.0,0.005634932561843787,0.08649145556684874,0.04444355950729405,0.10672695725200403
MIX_4,0.6544436358964316,0.007561845563384312,0.0,0.1537749847810251,0.11602364725529132,0.06819588650386772
MIX_5,0.11685454406065268,0.17873519625837558,0.05408674466231879,0.14862620164898138,0.2547895224199832,0.24690779094968834
MIX_6,0.7216055004549223,0.005011767991561949,0.0,0.1419716867972821,0.06672205851734707,0.06468898623888658
MIX_7,0.25371420126621486,0.1282468610417373,0.06756208461770945,0.0345026216619192,0.3050435829641655,0.21093064844825365
MIX_8,0.6730764301042361,0.0716396932253159,0.049726597985950555,0.12259806700187452,0.04243233792119513,0.04052687376142793
MIX_9,0.7699147782346458,0.030004902039482056,0.0,0.1305152621592381,0.021724455160792428,0.04784060240584167
MIX_10,0.18594348832866336,0.24514258236612999,0.19131040784268055,0.091558112706022,0.18574315564041932,0.1003022531160847
MIX_11,0.05313530004333189,0.16384338369507684,0.24376535434410448,0.18658646239295162,0.1139006973476375,0.23876880217689775
MIX_12,0.2709270973059871,0.12356015128103794,0.14804405384152777,0.1167390496409537,0.10930329634206945,0.23142635158842415
