,Neu,NK,Bcell,CD4T,CD8T,Mono
MIX_1,0.23137077912106954,0.1699869710324693,0.17654184723146119,0.04577158270372011,0.16822785344519778,0.20810096646608225
MIX_2,0.7387398954858783,0.0,0.020888349373629482,0.16147372195622195,0.029080339143306638,0.049817694040963846
MIX_3,0.7567030951120094,0.0,0.005634932561843737,0.08649145556684859,0.044443559507294464,0.10672695725200387
MIX_4,0.6544436358964305,0.007561845563384507,0.0,0.15377498478102491,0.11602364725529231,0.06819588650386775
MIX_5,0.11685454406065296,0.17873519625837544,0.054086744662318685,0.14862620164898166,0.25478952241998293,0.24690779094968837
MIX_6,0.7216055004549236,0.005011767991561783,0.0,0.14197168679728214,0.06672205851734617,0.06468898623888647
MIX_7,0.25371420126621513,0.1282468610417373,0.06756208461770949,0.034502621661918934,0.30504358296416506,0.21093064844825404
MIX_8,0.673076430104237,0.07163969322531581,0.0497265979859504,0.12259806700187441,0.04243233792119435,0.040526873761427835
MIX_9,0.7699147782346456,0.030004902039481942,0.0,0.13051526215923784,0.021724455160793136,0.04784060240584151
MIX_10,0.18594348832866325,0.2451425823661293,0.1913104078426806,0.09155811270602221,0.18574315564041985,0.10030225311608469
MIX_11,0.05313530004333189,0.16384338369507667,0.24376535434410485,0.1865864623929517,0.11390069734763715,0.23876880217689775
MIX_12,0.27092709730598735,0.12356015128103817,0.1480440538415279,0.11673904964095365,0.1093032963420687,0.23142635158842423
